id; user_id; dish_id; date
2fe611a7-f73b-4e72-be34-48dfbcfd441d;c201c515-42f8-f321-69df-c1c24354b9f8;cc6adc74-fe56-840c-9cd0-015948f2e774;2024-05-01T00:04:34Z
5d98d225-78bd-4a59-a291-c37671dd32c2;08523b6f-95c3-4e80-624b-6cdb25645aa0;b5843967-cf48-5bf0-a5c9-170a1933e7a8;2024-05-01T21:45:03Z
9e23cf11-63b2-4bc1-aa48-cec1b31cd29e;951c74b0-55b6-dcce-b081-e9674b38b7b7;0eca4f84-43ab-656e-d14b-1fbd6acc525f;2024-05-01T22:13:14Z
f97eb0cb-9ecb-4495-99e7-6dae982e983b;d4c44f9a-cb3a-8c25-516e-91f463ba6988;eb62fde4-4f43-c7f6-d323-0d0e4131ac17;2024-05-02T01:04:56Z
851f6e4b-5dc3-436c-ad4d-41467c624d37;34cc30a6-1698-e38a-73cb-8acf8901f11c;493fa57d-3850-8773-442c-2b7afad83933;2024-05-02T05:45:23Z
a9c6bd48-a88d-4d27-a540-11b079455181;592b6df7-7972-87ad-9d6f-53d31c899a98;bae94eab-79e9-7e69-0699-f7b7263ff8b0;2024-05-02T07:25:40Z
23aa26c2-a00f-413a-8201-3051149d6627;f17adae4-3f37-d60b-81f5-b15a058b0387;e5c05c25-c9b9-301d-f09b-e9c589403728;2024-05-02T08:10:22Z
58c6f6a3-b196-4e57-b98a-e1c7719eb403;d4c44f9a-cb3a-8c25-516e-91f463ba6988;493fa57d-3850-8773-442c-2b7afad83933;2024-05-02T13:29:33Z
c446f561-664a-4ece-8844-a0dc02a19be4;fcb758cd-728c-386a-3cf0-98d0793de010;cc6adc74-fe56-840c-9cd0-015948f2e774;2024-05-02T19:24:52Z
0b93fd46-6227-4db4-afe0-26e1e888867f;c68937f3-0539-bf76-36b1-4b8711077704;e284b559-6f65-1288-48f5-6353141553ee;2024-05-02T23:49:03Z
5dbb8acb-f24b-42b5-956c-6e27c2ab5e58;a55abc1d-65e1-f8b7-57ab-2cbfe590343d;eb62fde4-4f43-c7f6-d323-0d0e4131ac17;2024-05-03T08:41:26Z
41832ad7-b782-4993-b751-ef1f5dc0c8e9;5ecf3dac-2906-c33a-ff7f-5be33bee2205;b5843967-cf48-5bf0-a5c9-170a1933e7a8;2024-05-03T09:06:51Z
e4dea070-45c8-48ef-a066-a137a12faa67;8c5496ef-6aa6-17a8-8090-1a88f4b7062e;eb62fde4-4f43-c7f6-d323-0d0e4131ac17;2024-05-03T10:26:36Z
e0d82f91-d554-404d-8d29-309d4fd43618;98763f8b-14bd-7f09-36f7-df022691e120;fda8cf0b-a9ae-e2d8-ea5d-e421b37e1bc1;2024-05-03T11:20:33Z
1695f8c8-64f0-4b89-ad50-565e550a1c6c;11c8adf4-3c05-f215-cba4-32399e59bbcc;e284b559-6f65-1288-48f5-6353141553ee;2024-05-04T02:15:28Z
93325299-da18-4bda-9366-95f027ae47aa;cbb271a0-f999-378e-d980-444015bfb9c0;e284b559-6f65-1288-48f5-6353141553ee;2024-05-04T02:48:29Z
86307005-decf-4a46-8236-d80af07e9532;9ea9cd38-06c8-e4aa-eb3f-caf8405e9214;5d0378fb-45ae-f69a-0c59-80668c414007;2024-05-04T06:30:17Z
1d7d8f40-9de1-45c7-a73a-db1f43429a61;b93ac987-b042-124c-4835-34e153979346;493fa57d-3850-8773-442c-2b7afad83933;2024-05-04T08:14:40Z
